arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"pd-2p2d-thresh16","1.5","42",0.23670372397562234,1807.516340151641,892,117.74394899999999,165.13760000000002,174.60334999999995,203.26167999999998,989276.662298,2320080.2100000004,2723589.571399999,3121825.8402,87.0368445062664,108.798,110.024,116.459,0,93442,892,"OVERLOADED",1
"pd-2p2d-thresh16","1.5","123",0.22144580225141866,1781.4096720029208,929,121.849924,167.5948,176.75515,210.16279,1180944.572651,2729072.7996,3076806.85105,3549295.50503,87.23674469849907,108.783,110.482,117.265,0,204882,929,"OVERLOADED",1
"pd-2p2d-thresh16","1.5","777",0.23012313516127322,1792.6492840333713,903,119.574917,165.32829999999998,172.11884999999998,203.68513,1096783.3468499999,2475242.1309,2903526.57815,3263478.97182,86.98804310543878,107.631,109.489,117.858,0,151064,903,"OVERLOADED",1
"pd-2p2d-thresh16","2.2","42",0.23752145247124928,1821.6273792115383,955,124.836424,166.8984,184.19404999999998,208.4118,1252666.733496,2705816.1792,3019614.658799998,3495560.5888099996,87.29498256742266,108.515,109.812,116.206,0,177672,955,"OVERLOADED",1
"pd-2p2d-thresh16","2.2","123",0.22173920812958436,1772.5774068044905,952,125.224347,169.9484,178.8975,208.30199000000002,1330743.2827609999,2931706.2961,3244315.4294499997,3767844.6310099997,87.42529145884562,108.516,109.965,116.334,0,240352,952,"OVERLOADED",1
"pd-2p2d-thresh16","2.2","777",0.2302750723995452,1801.0443456826176,932,121.694038,162.7372,169.75829999999996,204.96433000000002,1266770.7751659998,2718937.1403,3101024.7482,3551913.96151,87.22986531595343,107.738,109.3,113.493,0,197111,932,"OVERLOADED",1
"pd-2p2d-thresh16","3.0","42",0.23774401382570448,1823.9107361152378,1000,129.761075,169.7591,183.56559999999996,207.42948,1456552.051395,2940393.2846000004,3290818.9229,3717565.9507999998,87.08291509843507,109.122,110.49,117.8,0,234903,1000,"OVERLOADED",1
"pd-2p2d-thresh16","3.0","123",0.22373087776410672,1781.456666734944,1000,129.583607,168.4663,179.51385,205.31459999999998,1542653.147332,3157536.0293,3473298.2323499997,4053625.57218,86.97235664293328,107.405,108.043,114.464,0,294864,1000,"OVERLOADED",1
"pd-2p2d-thresh16","3.0","777",0.234171114959124,1796.3078986428554,988,127.78090300000001,164.0547,175.11695,204.34293,1493438.204448,2937849.7752,3335587.5463499995,3781314.97381,86.41895984273175,108.314,109.31,110.672,0,252084,988,"OVERLOADED",1
"pd-2p2d-thresh16","4.0","42",0.23835235638664753,1828.577783290412,1000,129.801341,169.4587,185.309,207.43098999999998,1481107.931962,2976337.3633,3335545.2829499994,3769526.72048,87.22018371716842,109.076,110.421,117.682,0,232920,1000,"OVERLOADED",1
