arm,chat_rate,code_rate,arrival,seed,throughput_rps,tokens_per_sec,completed,goodput,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","50","10","poisson","777",4.139465665867231,1474.0340664950104,3964,0.11895161290322581,230.3716726310484,492.88680000000005,717.5546499999998,1143.476169999999,23202.008188446016,41453.1501,63110.803149999985,162272.6701199999,64.68944908666457,90.837,98.734,115.607,4,0,0,"OVERLOADED",0.44977137518682225
"agg-4xtp4","50","10","weibull","42",4.764003354197879,1683.7518073131382,3985,0.08753448708301982,244.8565492851768,561.0444000000002,789.5820999999994,1245.281159999999,24025.574542283564,42411.951199999996,63404.34439999994,145666.42611999996,67.47408584832979,88.68,95.383,105.985,2,0,0,"OVERLOADED",0.4335230144968735
"agg-4xtp4","50","10","weibull","123",4.526225921922394,1560.8178332537095,3980,0.11649510419281948,239.58588250062766,548.3904,775.7203999999995,1208.3987599999996,22993.829154271356,41572.01959999999,60996.16304999991,146208.03888,66.17476733641315,89.831,97.684,109.826,3,0,0,"OVERLOADED",0.40132185824954203
"agg-4xtp4","50","10","weibull","777",4.3268697504325875,1547.5828585644624,3994,0.1011011011011011,229.09372372372374,506.8115,740.2345,1200.1677500000005,22978.77329794692,40183.63680000003,58757.052299999996,171916.0373600001,63.782153299469584,86.191,91.642,107.327,2,0,0,"OVERLOADED",0.5513378643455422
"agg-4xtp4","50","20","poisson","42",4.586428832405245,1595.5743256140481,3958,0.08705526116578349,237.9635457986374,536.4130000000002,754.7432,1152.81934,23670.184362556847,41587.2836,60092.1763999999,145873.62904999976,67.54763844654595,95.085,105.375,124.723,5,0,0,"OVERLOADED",0.423287129608986
"agg-4xtp4","50","20","poisson","123",4.6729497932453485,1609.276013389883,3998,0.11027756939234809,240.527295823956,544.922,760.6573,1116.1703,23103.265827413707,42171.58450000001,61028.916499999985,144530.90641999978,66.5788858379503,90.36,96.879,107.35,1,0,0,"OVERLOADED",0.40053901821571564
"agg-4xtp4","50","20","poisson","777",4.344877958686106,1543.9322146689462,3964,0.17111895161290322,232.33759022177418,507.53210000000007,715.4185499999999,1083.3284999999998,23441.11374394551,42525.216499999995,60094.56249999999,167361.98564999996,65.49539401263682,88.99,95.639,106.221,4,0,0,"OVERLOADED",0.4327849933373437
"agg-4xtp4","50","20","weibull","42",4.83904401883856,1706.0085636992167,3971,0.08631102164066431,245.63981630598894,546.4972000000001,767.7851999999996,1215.7676499999995,24182.173934525308,43011.748,63763.229499999994,148334.7504000003,68.08636266196181,92.214,99.062,110.467,3,0,0,"OVERLOADED",0.38045284238900284
"agg-4xtp4","50","20","weibull","123",4.454901824800029,1545.9635320755563,3996,0.08181135851888917,243.00963422566926,550.6160000000001,761.1228,1155.7835999999998,23343.14089114114,42556.5285,60447.471750000004,141315.39300000094,66.75617843926125,91.566,98.698,113.094,1,0,0,"STABLE",0.0002501876407305925
"agg-4xtp4","50","20","weibull","777",4.142145512418289,1466.5372435837376,3957,0.1127648839556004,234.98041473259335,509.18200000000024,711.9833499999999,1230.1281799999992,23333.163054839526,41733.9544,61895.303199999995,164116.991,65.42365812091231,88.474,95.131,108.333,7,0,0,"OVERLOADED",0.4545521196586707
