arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score,goodput_rps,slo_attainment
"agg-4xtp4","2","123",0.5852143080457711,4659.767757385836,1000,74.830079,105.18400000000001,116.817,146.81563999999992,333598.370326,870774.4945,1066635.9867999998,1262621.91631,41.891960940893284,54.13,55.437,57.163,0,0,0,"OVERLOADED",1,0.5852143080457711,1
"agg-4xtp4","2","777",0.603949124519154,4617.958072337071,1000,75.26191899999999,103.63900000000001,116.31105,157.38357,313311.347521,833703.9483,983721.3986999999,1219944.2909199998,40.971124447141825,52.071,54.883,57.573,0,0,0,"OVERLOADED",1,0.603949124519154,1
"agg-4xtp4","5","42",0.637927062440903,4894.011837864498,1000,72.053892,99.894,115.22714999999998,148.11330999999998,356207.32690100005,883038.9168000001,1047751.2389,1357854.27947,46.427646244522364,58.806,60.727,63.59,0,0,0,"OVERLOADED",1,0.637927062440903,1
"agg-4xtp4","5","123",0.6404215092475309,5099.354986540447,1000,72.12858100000001,100.8621,112.19339999999998,145.91384,369309.600367,933400.3625,1132894.64895,1355605.00702,46.377791564602546,57.795,59.722,61.357,0,0,0,"OVERLOADED",1,0.6404215092475309,1
"agg-4xtp4","5","777",0.6661588222649365,5093.630217919716,1000,72.206361,100.95960000000001,112.95794999999998,150.03409999999997,346594.96884600003,901549.9614,1067141.0395499999,1275474.3775499999,45.32501605371687,56.049,56.72,58.067,0,0,0,"OVERLOADED",1,0.6661588222649365,1
"agg-4xtp4","10","42",0.659253643800205,5057.623867795072,1000,69.071719,94.8058,109.98079999999997,136.31599,367811.084566,903941.3797,1066140.2936499994,1371427.38534,47.940764511047306,59.768,61.838,64.989,0,0,0,"OVERLOADED",1,0.659253643800205,1
"agg-4xtp4","10","123",0.662110836493285,5272.056211356108,1000,68.306717,96.0602,103.96689999999992,139.19012999999998,382064.037195,947504.7402000001,1157623.4542999999,1378804.77001,47.980286307677275,59.174,60.618,63.065,0,0,0,"OVERLOADED",1,0.662110836493285,1
"agg-4xtp4","10","777",0.6915936210959182,5288.111557177086,1000,68.923872,93.4683,110.026,139.79966,357834.179445,913013.7139000001,1082234.6418999997,1314470.14213,46.79553221442801,56.413,57.13,58.225,0,0,0,"OVERLOADED",1,0.6915936210959182,1
"agg-4xtp4","20","42",0.6715187459588338,5151.718567159715,1000,66.429145,89.3148,102.71979999999998,130.75699,373476.811247,911044.8994000001,1073516.7860499995,1379185.88172,48.67972421729215,60.529,62.636,64.764,0,0,0,"OVERLOADED",1,0.6715187459588338,1
"agg-4xtp4","20","123",0.6742400645962975,5368.63516586789,1000,65.68776700000001,89.041,100.9399,126.40384999999995,388357.99093300005,952307.0673000001,1169250.4715999998,1389162.39438,48.771164191211255,59.331,61.169,62.545,0,0,0,"OVERLOADED",1,0.6742400645962975,1
"agg-4xtp4","20","777",0.7056032536494992,5395.232990282556,1000,65.721402,87.7343,101.96494999999999,131.49059,363568.710341,918957.6061,1087163.6990999994,1326380.7670099998,47.54602675105,56.404,57.257,58.512,0,0,0,"OVERLOADED",1,0.7056032536494992,1
"agg-4xtp4","50","42",0.6796013626404208,5213.726317025747,1000,65.99607300000001,91.2359,105.28144999999999,131.12245,377007.15553399996,914072.8468,1077491.944,1383853.1849,49.140015719600534,60.464,63.236,64.173,0,0,0,"OVERLOADED",1,0.6796013626404208,1
"agg-4xtp4","50","123",0.6823098648515826,5432.890934260998,1000,64.94665499999999,87.34080000000002,101.86984999999999,131.26624999999999,392090.659075,954548.0643000002,1174279.4164999996,1394709.7575700001,49.24009720532493,59.433,61.151,62.574,0,0,0,"OVERLOADED",1,0.6823098648515826,1
"agg-4xtp4","50","777",0.7148888772654312,5466.2333755683485,1000,64.865297,88.0801,101.68144999999998,122.17561,366881.914251,918802.5290999999,1089481.8202999993,1333163.3510999999,47.97950523055432,56.144,57.32,59.008,0,0,0,"OVERLOADED",1,0.7148888772654312,1
"agg-4xtp4","100","42",0.682432025702945,5235.4424337303635,1000,71.953037,108.1219,123.72779999999993,168.69968,378223.134638,914766.1477000001,1078856.2320499998,1385550.34004,49.29776084256256,60.454,63.185,64.325,0,0,0,"OVERLOADED",1,0.682432025702945,1
"agg-4xtp4","100","123",0.6851701924559822,5455.666287090374,1000,70.458678,106.4491,119.30964999999996,153.14011999999997,393354.12695,956499.7419000001,1175538.0692499997,1396412.83228,49.3981021250021,59.442,61.166,62.576,0,0,0,"OVERLOADED",1,0.6851701924559822,1
"agg-4xtp4","100","777",0.7182413061784702,5491.866952193252,1000,68.66515,99.43390000000001,116.8142,141.66152999999997,367952.46374800004,918098.606,1090243.0039999993,1334857.8031399997,48.11903590036715,56.17,57.218,59.119,0,0,0,"OVERLOADED",1,0.7182413061784702,1
"agg-4xtp4","200","42",0.6838178182005435,5246.073876237475,1000,208.821772,406.13400000000007,463.70989999999983,573.9154199999999,378913.521445,915658.4442,1079688.9893999998,1386282.1401600002,49.36992049439285,60.589,63.11,64.414,0,0,0,"OVERLOADED",1,0.6838178182005435,1
"agg-4xtp4","200","123",0.686492840775544,5466.1978716895865,1000,198.376666,485.05620000000005,584.8426,663.42429,394050.579221,957410.9362,1176337.4811499997,1397222.06524,49.46951259109781,59.431,61.184,62.549,0,0,0,"OVERLOADED",1,0.686492840775544,1
"agg-4xtp4","200","777",0.7199771604813281,5505.139762873564,1000,118.907205,217.32690000000002,242.67424999999994,332.4360899999999,368506.49834600004,919534.8564,1090636.870449999,1335557.88764,48.18493187827245,56.152,57.178,59.229,0,0,0,"OVERLOADED",1,0.7199771604813281,1
"pd-1p3d-thresh16","0.2","42",0.19068841393201427,1462.9123140756192,1000,61.889278,67.67880000000001,87.42824999999999,99.64209,164353.132756,370831.92260000017,482724.2867999999,684384.5735099998,21.469812000325394,23.783,24.257,25.167,0,0,1000,"STABLE",0,0.19068841393201427,1
"pd-1p3d-thresh16","0.2","123",0.1838591560437743,1463.978162280241,1000,61.888263,68.4013,86.73649999999999,95.66405999999999,174500.212656,413636.1166000001,545408.2065499999,726417.1683799999,21.96198819669364,24.549,25.867,27.595,0,0,1000,"STABLE",0,0.1838591560437743,1
"pd-1p3d-thresh16","0.2","777",0.1808651400268124,1382.9436942328148,1000,61.209239000000004,66.4248,85.27900000000001,95.49759999999999,162347.048135,395061.9973,500984.8356999999,684728.0214,21.27885892806925,24.069,24.643,25.333,0,0,1000,"STABLE",0,0.1808651400268124,1
"pd-1p3d-thresh16","0.5","42",0.37064117536418945,2843.4634719708174,1000,70.65226,80.8655,98.5399,108.99422999999996,239534.288886,572771.7078000001,719563.7867499999,985500.82685,31.271514848367996,37.826,39.704,43.109,0,0,1000,"OVERLOADED",0.9967207223338376,0.37064117536418945,1
"pd-1p3d-thresh16","0.5","123",0.3565692092357694,2839.1816154013954,1000,71.28086400000001,83.3467,95.11925,108.64639,258441.660602,643861.8952,791845.5141999997,1080099.5822299998,32.5060947164717,40.996,42.42,43.934,0,0,1000,"OVERLOADED",1,0.3565692092357694,1
"pd-1p3d-thresh16","0.5","777",0.3644004447167807,2786.3041884245786,1000,70.594406,80.3301,94.05785,107.14541999999999,237598.40515099998,595442.2192,770491.8161499997,1027368.9416099995,31.12244791066895,37.691,38.661,41.281,0,0,1000,"OVERLOADED",0.9041138352479267,0.3644004447167807,1
"pd-1p3d-thresh16","1","42",0.46751611889451794,3586.6630450000666,1000,78.40603999999999,93.81150000000001,108.26079999999999,124.15737999999999,330274.17550099996,831143.3594,1007873.3943999999,1314320.47629,43.10192223151294,56.853,58.541,60.651,0,0,1000,"OVERLOADED",1,0.46751611889451794,1
"pd-1p3d-thresh16","1","123",0.4427432303432192,3525.342086121422,1000,77.940026,96.92269999999999,103.7847,120.48026999999999,351151.847185,923103.14,1118168.581,1404538.8367799998,44.15190309311137,60.684,65.124,68.298,0,0,1000,"OVERLOADED",1,0.4427432303432192,1
"pd-1p3d-thresh16","1","777",0.4776015597783017,3651.870478486035,1000,77.98795299999999,93.12780000000001,99.65324999999997,121.82803999999999,322714.200345,848721.8529,1053384.44845,1350818.45227,42.25651218230357,54.584,55.464,56.899,0,0,1000,"OVERLOADED",1,0.4776015597783017,1
"pd-1p3d-thresh16","2","42",0.5215134425448367,4000.9165807358104,1000,80.105031,100.0292,108.35865,127.23079,392107.745347,976546.4047000001,1167487.7557999997,1466719.59466,51.163748416385275,67.751,68.873,70.319,0,0,1000,"OVERLOADED",1,0.5215134425448367,1
"pd-1p3d-thresh16","2","123",0.49452953994466814,3937.69047275034,1000,79.240302,98.39370000000001,104.8546,122.8158,409324.886629,1098492.7962,1286713.299,1594903.21829,51.45950916498378,67.836,69.205,71.331,0,0,1000,"OVERLOADED",1,0.49452953994466814,1
