arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"agg-3xtp4","5","123",0.4050425777335104,3286.3919377434945,1000,101.619372,114.28,128.39559999999997,192.63563999999997,460308.345826,1109932.1049000002,1356601.3932999999,1681753.1011499995,56.72664255885375,73.902,75.213,76.786,0,0,0,"","OVERLOADED",1
"agg-3xtp4","5","777",0.36665540396596086,3046.2101283450033,1000,121.714633,119.06550000000001,135.76139999999995,347.856129999999,474414.262375,1119397.5816000002,1388191.6225999997,1898648.4466599997,57.094739878809705,73.939,75.859,78.146,0,0,0,"","OVERLOADED",1
"agg-6xtp4","1","42",0.528474850947513,3997.4773126156056,1000,62.384404,81.0808,96.81004999999999,122.24908,205182.300808,479403.46430000005,616525.0644999999,1052416.91695,27.120764118570804,32.586,33.679,35.701,0,0,0,"","OVERLOADED",1
"agg-6xtp4","1","123",0.47117853685606503,3822.998938596371,1000,62.784656999999996,81.26960000000001,91.6156,117.50484,227551.931912,549505.4967,724630.61485,1029014.2563699998,28.041035716861042,35.446,37.858,40.134,0,0,0,"","OVERLOADED",1
"agg-6xtp4","1","777",0.46417404418935604,3856.404840703633,1000,65.008441,86.82280000000002,96.66769999999997,131.1669,241934.469353,569441.0957000001,739212.4163499997,1095939.41525,29.115895414296755,36.928,37.867,40.815,0,0,0,"","OVERLOADED",1
"agg-6xtp4","2","42",0.6061342274912312,4584.906582501939,1000,65.68603599999999,87.54530000000001,101.24514999999994,133.11670999999998,238510.58782100002,569391.1076000001,732176.6684,1129416.9478099998,31.526979308430835,40.004,40.92,42.25,0,0,0,"","OVERLOADED",1
"agg-6xtp4","2","123",0.5299825406261693,4300.116689965847,1000,66.524861,88.6684,98.5922,130.53957999999997,264154.944461,639106.2215000001,827118.03995,1105594.4034499996,32.552393822274844,40.5,41.46729999999981,42.912,0,0,0,"","OVERLOADED",1
"agg-6xtp4","2","777",0.4852341416510529,4031.3742574852545,1000,66.72652599999999,91.0291,100.07884999999997,131.69263999999998,278472.647351,668641.5061,865870.7195999996,1244993.82611,33.51411567344613,43.531,44.871,46.125,0,0,0,"","OVERLOADED",1
"agg-6xtp4","3","42",0.6255341780390073,4731.651242236564,1000,66.19368300000001,90.03200000000001,102.07979999999998,133.72927,252615.704009,601572.6270000002,767825.9164,1172322.0985799998,33.3918845646479,41.75,43.303,45.421,0,0,0,"","OVERLOADED",1
"agg-6xtp4","3","123",0.5520962852476391,4479.540869132343,1000,66.56463400000001,89.29599999999999,98.83679999999998,134.75270999999998,280918.756713,681556.7544,859662.7954999999,1136720.2096399998,34.618756785383894,43.204,44.074,46.768,0,0,0,"","OVERLOADED",1
"agg-6xtp4","3","777",0.49280909040852233,4094.3076968321348,1000,66.11538499999999,88.4653,97.74269999999997,127.45653999999998,292450.712949,701878.302,900265.93305,1272576.5180099998,35.19685394026147,45.337,45.89,46.81,0,0,0,"","OVERLOADED",1
"agg-6xtp4","5","42",0.6285548090075997,4754.499829534679,1000,64.477931,85.2579,101.15575,127.27777999999999,264250.385604,630636.4661000001,787660.5004499999,1190096.9579999996,34.930444001641106,43.442,45.022,46.169,0,0,0,"","OVERLOADED",1
"agg-6xtp4","5","123",0.5713309756918793,4635.605280816322,1000,64.482359,85.6144,95.15729999999999,134.81180999999998,294107.534968,708248.5962,882436.5837,1156514.8705,36.24470975538954,44.711,45.941,48.303,0,0,0,"","OVERLOADED",1
