arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score,goodput_rps,slo_attainment
"agg-4xtp4","2","123",2.450267044971703,663.4003783220695,1170,297.67833247863246,638.6560000000001,805.0202499999999,1063.4007099999994,9484.472111111112,24947.640300000105,41430.431849999964,70239.62531999985,34.05430122970947,48.516,55.898,66.885,0,0,0,"OVERLOADED",0.601102133977272,2.450267044971703,1
"agg-4xtp4","2","42",2.5756175889903887,651.2964197279996,1200,318.561885,713.099000000001,893.01395,1151.20732,9455.917248333333,22317.778900000016,41125.94654999998,75887.56873999999,36.27497662815473,52.876,62.825,72.727,0,0,0,"OVERLOADED",0.6801772944481568,2.5756175889903887,1
"agg-4xtp4","2","777",2.254033658480193,609.7141273963848,1140,298.5429157894737,633.9625,788.4499999999998,1103.4708499999986,9475.481175438596,24200.902700000028,42602.351899999936,75833.25797999998,34.048946668446014,49.365,56.712,68.072,0,0,0,"OVERLOADED",0.6157673315741374,2.254033658480193,1
"agg-4xtp4","20","123",3.257050141116013,866.8410957070391,2000,830.005297,1512.6481,2397.23475,8758.13654,16449.534971,42106.93670000003,72876.70905,128265.35281,58.90690183787617,88.697,102.161,111.484,0,0,0,"OVERLOADED",0.9160235724756983,3.0746553332135163,0.944
"agg-4xtp4","20","42",3.5692397670096647,910.6986650320499,2000,725.5800479999999,1679.9966000000013,2226.3468,4162.20313,16434.339648,37836.23190000001,66296.16624999998,139533.45591999998,61.80546523340363,92.211,98.022,104.78,0,0,0,"OVERLOADED",1,3.4978549716694713,0.98
"agg-4xtp4","20","777",3.1588066593867232,879.4291474098903,2000,956.4719534999999,1803.494100000003,3389.831149999999,11091.90647,18241.849329999997,45014.53380000001,75901.92389999994,159934.23416999998,62.30806662629256,108.117,114.93,130.262,0,0,0,"OVERLOADED",1,2.792385086897863,0.884
"agg-4xtp4","5","123",2.8666414519733388,750.0611872154266,1610,449.1460801242236,1055.017600000001,1291.8899499999998,2115.756270000002,12515.058960869566,31771.160100000063,53781.02214999995,99861.8866400001,46.28837139609531,72.606,78.97959999999998,86.966,0,0,0,"OVERLOADED",0.9868986840073521,2.8666414519733388,1
"agg-4xtp4","5","42",3.143307927668918,812.8554762487323,1590,492.0646471698113,1034.1742000000006,1341.3199999999997,5077.620759999975,12852.687652201257,29802.567400000025,55150.49545,110275.28264999998,47.98100294446533,76.11,86.735,98.013,0,0,0,"OVERLOADED",0.9401510732699918,3.143307927668918,1
"agg-4xtp4","5","777",2.9795563286745717,813.0982925535538,1580,420.5136626582278,964.7816000000001,1275.8795499999994,1871.6022800000005,12936.741113291138,32392.531100000007,57386.07834999999,113548.96405000004,46.03089390348937,72.784,81.237,88.891,0,0,0,"OVERLOADED",1,2.9795563286745717,1
"agg-4xtp4","50","123",3.231258726448391,859.9768912331541,2000,985.0213695,2495.4011000000005,3152.12265,6099.65963,16831.9089535,41541.67960000002,71976.01059999997,140820.34803999998,59.76439349332247,89.807,96.6845,114.029,0,0,0,"OVERLOADED",0.8857662924618941,3.163402293192975,0.979
"agg-4xtp4","50","42",3.485039295238207,889.2147462586191,2000,1023.2710400000001,2586.525,3425.40185,6572.4007599999995,16664.959787,38322.80450000004,67481.51995,136777.49411,61.541564681765244,96.464,103.047,112.196,0,0,0,"OVERLOADED",0.8374704244584961,3.3194999287143925,0.9525
"agg-4xtp4","50","777",3.129172061548355,871.1787123814005,2000,935.0191585,2100.746,2649.8462,6772.72805,18186.197279,44973.18250000001,80086.12924999997,153603.71394,62.184784081425924,101,110.854,116.999,0,0,0,"OVERLOADED",1,2.864757022347519,0.9155
"pd-1p3d-thresh16","0.2","123",0.7165098870509018,206.53484873496762,410,461.7230731707317,617.2219000000001,678.1458499999995,800.5211999999993,6830.240007317073,18540.845300000004,35227.92199999999,47347.950289999935,22.43791727305919,26.516,28.663,31.871,0,0,410,"OVERLOADED",0.3854832258893752,0.7165098870509018,1
"pd-1p3d-thresh16","0.2","42",0.9513543484641058,234.58950519985882,460,450.0539413043478,591.8358000000001,631.9973,725.7561699999999,5899.4827869565215,13939.246200000007,21496.549299999897,45951.470199999996,22.494836716267294,26.91,28.003,30.065,0,0,460,"STABLE",0,0.9513543484641058,1
"pd-1p3d-thresh16","0.2","777",0.6779949764431602,193.79356410000327,390,460.6658384615385,619.1234000000001,657.218,705.6966100000004,6726.533338461539,15611.102900000002,33287.79069999998,49498.76846000002,22.26807699509385,26.506,28.963,33.111,0,0,390,"STABLE",0,0.6779949764431602,1
"pd-1p3d-thresh16","0.5","123",1.386576565296778,391.5818272813129,660,457.2026818181818,607.7776,650.4866,751.33722,7853.1634772727275,19350.145000000008,34167.14474999997,59078.44396999999,26.571189533193344,33.904,35.745,39.657,0,0,660,"OVERLOADED",0.4213183961789869,1.386576565296778,1
