arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"pd-2p2d-thresh16","50","123",2.7245212347615615,1401.150960812458,868,123870.770596,222367.0643,231712.17844999998,242519.37878,167839.305433,275042.5613,284658.23965,292521.17623,98.98495906823905,109.831,110.169,122.272,0,13,868,"OVERLOADED",1
"pd-2p2d-thresh16","50","42",2.5785575936921608,1315.9775509546614,881,132347.609989,237665.44440000004,252094.93845,264344.64586,176796.82564899998,287166.6642,301387.46765,311613.42819999997,98.31547867255277,110.036,112.121,128.292,0,36,881,"OVERLOADED",1
"pd-2p2d-thresh16","50","777",2.679293333622038,1387.6554766916167,883,134085.827891,232051.868,249402.10185,256653.83928,178849.166594,281531.37460000004,294721.25335,305429.66232,98.43181797129519,109.615,110.015,114.85,0,10,883,"OVERLOADED",1
"pd-3p1d-thresh16","0.2","123",0.19089848924174543,98.26442464172074,1000,419.163879,1633.2942,2045.9232499999994,2492.54075,9871.043741,16494.362500000003,18520.332049999997,22200.939779999997,18.546959295139438,21.277,22.872,24.649,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","0.2","42",0.20015482808596533,102.96024403190482,1000,445.90599699999996,1786.7505,2274.3105,2490.35191,9958.114506,17351.284000000003,19618.684949999995,24271.142789999998,18.676712958436163,21.892,23.131,24.728,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","0.2","777",0.21325850568930368,109.84966953906601,1000,434.114233,1684.0134,2178.7681999999995,2492.0349499999998,10098.475199999999,17883.2122,19977.672749999998,25374.218889999986,18.947769780646215,22.428,24.048,29.075,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","0.5","123",0.4746337486898358,244.3162982368469,1000,423.350822,1638.6824,2052.214299999999,2494.7849300000003,11000.325897,18455.0606,21255.381100000002,25644.31338,20.741028961726297,25.292,26.776,29.613,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","0.5","42",0.4983892788647385,256.3729402158581,1000,450.805487,1788.1767000000002,2278.00735,2496.5910400000002,11319.415038000001,20100.670599999998,23299.549549999996,27738.007689999995,21.32538740911136,26.896,28.2,30.611,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","0.5","777",0.5312357036835625,273.64004220310676,1000,442.408589,1691.3796,2185.38515,2494.8041,11427.094086,20127.7071,22897.42225,29952.881469999997,21.522664861573894,27.009,28.592,35.154,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","1","123",0.9367433128030674,482.18581003544057,1000,437.61524099999997,1652.5836,2074.7590499999997,2506.3917,13786.216849999999,23647.4229,26653.6229,35149.46375999999,26.152185073586804,35.394800000000046,37.64,43.257,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","1","42",0.9816357565567589,504.9563780800665,1000,470.018005,1806.3743000000004,2326.239199999999,2513.06725,14758.615016000002,26492.7792,30226.639,38204.99365999999,28.004838394010164,37.154,39.156,42.411,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","1","777",1.0504345144428118,541.0798688240068,1000,466.669561,1712.2038,2208.87455,2506.63016,14706.208993,25526.4418,30293.1105,38572.559109999995,27.872886823795326,37.318,41.37,49.264,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","10","123",3.563217907833149,1866.7322601167693,597,2133.588444,4700.66,5802.787699999998,7041.76975,34153.027698,80028.55380000001,88114.68254999998,106112.95685999999,95.90117735172103,117.583,121.887,128.672,0,113,597,"OVERLOADED",1
"pd-3p1d-thresh16","10","42",3.58760100359526,1814.3710468011795,586,3697.212992,6811.6136,7868.53695,8943.53818,34325.445264,80814.8112,90009.28034999999,114696.12012,92.5342190861942,124.963,127.929,131.899,0,284,586,"OVERLOADED",1
"pd-3p1d-thresh16","10","777",2.8685448007472787,1490.8798053769792,526,4503.2581900000005,8602.5877,9804.97185,11740.364999999998,41051.620148,96555.21939999999,106900.16994999998,124358.81216999999,86.92465397611909,119.72,127.806,130.977,0,477,526,"OVERLOADED",1
"pd-3p1d-thresh16","100","123",3.45447163606415,1829.3451911720738,546,39755.674386,70162.0399,75693.11584999994,84329.83114000001,72663.070666,131731.43349999998,137920.6781,143727.70148999998,88.37324278828662,116.868,129.818,130.381,0,419,546,"OVERLOADED",1
"pd-3p1d-thresh16","100","42",3.092760633527635,1575.349550946112,548,42605.776173,76357.1792,82291.05625,85914.34595999999,80248.54788,146573.76069999998,153370.82734999998,159754.73463999998,85.78549140477772,119.843,127.133,128.053,0,996,548,"OVERLOADED",1
"pd-3p1d-thresh16","100","777",3.5067273043808966,1812.7220508682535,548,43303.609082999996,77756.5175,79131.05055,84517.39614,74564.189302,131938.3676,139060.1331,145489.90076,88.51929333493675,115.636,123.87,132.337,0,274,548,"OVERLOADED",1
"pd-3p1d-thresh16","2","123",1.814832844439748,934.1797621768269,1000,498.623439,1710.8075000000001,2158.8936,2543.12566,25748.678969,44990.849500000004,51714.811649999996,66251.84259,49.38618748527972,68.982,77.037,87.932,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","2","42",1.8263103069670399,939.4595008347661,1000,549.816867,1890.0867,2415.61265,2566.3315,31839.878393,59182.144100000005,66357.13259999998,82391.50808,61.21722429163834,82.98,87.978,98.486,0,0,1000,"STABLE",0
"pd-3p1d-thresh16","2","777",2.0066445816117686,1033.2342151174955,994,557.089421,1803.6061,2265.8873,2550.70403,29760.448017000002,53260.221300000005,62473.78004999999,84158.0376,57.43158854828385,77.054,101.699,107.023,0,0,994,"STABLE",0
