arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"pd-default","200","123",17.60457117478393,5292.55465627396,4000,121.9935515,145.8882,153.33114999999998,155.14731999999995,14305.433030999999,26688.224899999997,30044.22195,33900.549439999995,46.342506522513624,80.319,81.078,81.614,0,0,3992,"1.0020","STABLE",0
"pd-default","200","777",17.19181094732831,5171.760911851933,4000,121.70580700000001,149.79899999999998,154.45305,165.71357999999998,14561.848382,28274.8226,32004.237299999986,36632.9369,46.45939791529782,80.831,81.74,86.074,0,0,3994,"1.0015","STABLE",0
"pd-default","300","42",17.558177958199956,5294.374463814397,4000,122.54301799999999,149.27800000000002,153.71405,156.73109999999997,14578.590571249999,27322.0971,30585.869899999987,34348.20663,47.04446517814584,80.182,80.976,81.496,0,0,3996,"1.0010","STABLE",0
"pd-default","300","123",17.59091124759479,5288.448000648471,4000,122.58834875000001,146.0964,153.524,159.37830999999895,14457.45129575,27151.565000000002,30694.09189999999,34758.59446,46.572839200327735,80.298,81.08,81.737,0,0,3992,"1.0020","STABLE",0
"pd-default","300","777",17.56399091003753,5283.72269349386,4000,122.5042935,148.019,153.53525,155.46575999999993,14539.581271,27455.6656,30858.56724999999,34763.74436999999,46.86517223098654,80.302,81.107,81.619,0,0,3996,"1.0010","STABLE",0
"pd-default","400","42",17.69814383902703,5336.578830749297,4000,123.29619575,147.49710000000002,153.65645,202.9714599999999,14411.189238250001,27140.2238,30630.2234,34953.87436,46.34846687180204,80.143,80.91,81.516,0,0,3992,"1.0020","STABLE",0
"pd-default","400","123",17.665996381959776,5311.021238789573,4000,123.930792,147.0569,153.84615,211.0306999999999,14513.41291475,27308.230999999996,31126.10875,35552.55145,46.676973340920334,80.319,81.086,81.66,0,0,3995,"1.0013","STABLE",0
"pd-default","400","777",17.552620870462903,5280.302278598744,4000,123.6627895,149.7482,153.9012,195.41608,14618.50497625,27549.776400000002,31354.266299999992,35119.30847999999,47.02502291237947,80.309,81.096,81.645,0,0,3992,"1.0020","STABLE",0
"pd-asym","200","42",17.17224186609825,5178.00189967067,4000,121.3051385,148.1613,153.744,157.63204999999996,14348.4619455,26772.4917,29821.43925,34471.380359999974,46.43175888025701,80.209,80.968,81.566,0,0,3996,"1.0010","STABLE",0
"pd-asym","200","123",17.575474999400896,5283.807320313638,4000,121.57492375,145.7409,153.28815,154.73780999999997,14303.6725435,26707.716599999996,30001.026850000002,34042.83707999999,46.34563082864917,80.3,81.077,81.593,0,0,3988,"1.0030","STABLE",0
"pd-asym","200","777",17.465528210559135,5254.102454997873,4000,121.78057749999999,146.3083,153.44295,155.35266,14600.48176375,27236.131299999997,30674.84144999999,36707.507039999975,46.90067880477743,80.197,81.009,81.916,0,0,3999,"1.0003","STABLE",0
"pd-asym","300","42",17.626245338298762,5314.899042154576,4000,121.40721475,146.3604,153.36765,155.2911,14352.648406749999,27088.8784,30405.292049999982,34330.73356,46.291083138055434,80.135,80.924,81.498,0,0,3992,"1.0020","STABLE",0
"pd-asym","300","123",17.62415568893624,5298.442451582269,4000,121.89848725,146.3359,153.3642,155.21152,14442.068314,27226.3419,30627.942049999994,34687.38374,46.57485336338098,80.289,81.054,81.595,0,0,3992,"1.0020","STABLE",0
"pd-asym","300","777",17.50861166536202,5267.063121455861,4000,121.8883055,146.3323,153.51905,155.09654999999998,14623.964126,27563.714399999997,30955.56065,35142.33092,47.12236383314377,80.271,81.066,81.703,0,0,3993,"1.0018","STABLE",0
"pd-asym","400","42",17.658341075228307,5324.576974022086,4000,121.69821275000001,146.4581,153.12255000000002,154.92052999999999,14408.27619425,27229.317,30641.4735,34536.94447999999,46.376927819966674,80.19,80.997,81.52,0,0,3987,"1.0033","STABLE",0
"pd-asym","400","123",17.686694914912493,5317.243947418447,4000,122.35772625000001,146.33960000000002,153.47504999999998,155.44876,14511.1321465,27398.2272,30998.572899999992,35420.661439999996,46.67349223514256,80.291,81.074,81.696,0,0,3990,"1.0025","STABLE",0
"pd-asym","400","777",17.473697618370398,5256.560033441511,4000,122.22327125000001,147.8078,153.55794999999998,155.16454,14671.0701325,27824.8805,31355.979449999984,35408.82237999999,47.16684516487841,80.344,81.124,81.745,0,0,4000,"1.0000","STABLE",0
