arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"pd-default","100","42",2.2287849971526104,901.9160104438388,2196,546.0876875828546,634.2638,1084.0348000000001,1349.490060000002,34456.5727918692,86315.6692,137556.06490000003,272462.45926000044,80.23758896974797,99.335,102.265,107.34,20,0,2216,"1.0305","OVERLOADED",0.4713406634063263
"pd-default","100","123",2.3198986446963064,885.3104924629041,2172,576.8279308652989,659.4735000000001,1422.8373999999992,1819.9698500000004,31530.476471454058,79297.72430000002,119242.76179999993,248482.57104000033,78.58654667000525,96.684,99.264,107.113,16,0,2188,"1.0322","OVERLOADED",0.5872031799858447
"pd-default","100","777",2.326270811780259,832.1630436604397,2265,533.5059013722126,636.5585,813.4687999999999,1600.1154900000008,30024.43250042882,71145.31160000002,109009.25184999971,237816.25755,80.39074540706453,99.384,102.66,108.037,14,1,2279,"1.0296","STABLE",0
"pd-default","200","42",2.1849532088024146,868.9235991259261,2084,629.446195450325,676.8211000000001,1969.49055,2176.5340499999966,33367.33934308264,83998.74980000002,129207.17334999997,290773.41602999653,77.75361322233672,97.293,100.094,105.312,22,0,2106,"1.0336","OVERLOADED",0.5492423752298117
"pd-default","200","123",2.3585026841825005,902.2123139382022,2302,631.0657820404722,651.3837000000001,2104.6794,2487.97854,34503.23967790893,84315.94780000001,131755.88939999993,293167.95396999974,84.43408513075319,103.314,105.663,108.411,22,1,2324,"1.0304","OVERLOADED",0.5369821352722599
"pd-default","200","777",2.3615440885483343,838.7141396527107,2310,603.0386295206056,654.2617000000002,1521.5693000000006,2485.36138,30676.590662741797,71809.07670000003,112340.72140000005,248898.7235100001,82.40744146667025,101.356,104.341,108.671,15,0,2325,"1.0294","STABLE",0
"pd-asym","40","42",2.2703218432015815,891.9947464712259,2254,487.25950753985353,593.364,620.636,694.2456000000004,35141.09169021973,87623.481,140445.445,300000,83.02030660411535,102.179,104.545,107.434,25,0,2279,"1.0297","OVERLOADED",0.5325804899048462
"pd-asym","40","123",2.4543319328974222,924.2938035615244,2389,487.87580456026063,588.8979999999999,618.64725,745.9814999999996,33859.808688517915,83783.7195,125714.59324999999,262188.5535999998,85.46052264513246,102.708,104.886,108.388,19,1,2408,"1.0280","STABLE",0
"pd-asym","40","777",2.399769641433323,852.9344773578223,2385,487.06185749285424,590.4150000000001,620.3628,690.7838,31357.877019599837,73548.10220000005,114947.08119999999,235408.8733599999,83.90269762806103,102.817,104.967,108.298,17,0,2402,"1.0268","STABLE",0
"pd-asym","80","42",2.287644204183035,915.2996537353577,2269,502.25487670648465,601.3271000000001,636.8223499999999,1000.9586300000009,35721.49137158703,90072.68900000006,144756.04445,293928.28322000004,83.99506319990371,103.531,105.608,108.873,23,0,2292,"1.0331","STABLE",0
